Liverpool | 2.4095070768357765 - 0.7197882975595413 | Everton
Liverpool | 2.6738835477663687 - 0.5836118130667451 | Luton Town
Liverpool | 2.6738835477663687 - 0.7001397273507792 | Burnley
Liverpool | 2.6738835477663687 - 0.5836118130667451 | Sheffield Utd
Brighton | 1.03364361557013 - 1.6795060276389298 | Manchester City
Brighton | 1.1628490675163965 - 1.7289032637459572 | Arsenal
Brighton | 2.131889957113394 - 1.0867391943546019 | Manchester Utd
Brighton | 1.2274517934895295 - 1.5807115554248754 | Newcastle Utd
Brighton | 1.9380817791939942 - 1.4325198471037934 | Liverpool
Brighton | 1.6150681493283285 - 0.8891502499264923 | Aston Villa
Brighton | 2.454903586979059 - 1.6301087915319026 | Tottenham
Brighton | 1.8088763272477275 - 1.136136430461629 | Brentford
Brighton | 1.5504654233551953 - 1.1855336665686562 | Fulham
Brighton | 1.6796708753014618 - 0.9385474860335197 | Crystal Palace
Brighton | 1.8088763272477275 - 0.8891502499264923 | Chelsea
Brighton | 2.454903586979059 - 0.5927668332843281 | Wolves
Brighton | 2.002684505167127 - 0.7903557777124377 | West Ham
Brighton | 2.777917216844725 - 0.8397530138194649 | Bournemouth
Brighton | 2.8425199428178582 - 0.5433695971773009 | Nott'ham Forest
Brighton | 1.9380817791939942 - 0.8891502499264923 | Everton
Brighton | 2.1507324188555574 - 0.7209322396706852 | Luton Town
Brighton | 2.1507324188555574 - 0.8648784867274331 | Burnley
Brighton | 2.1507324188555574 - 0.7209322396706852 | Sheffield Utd
Aston Villa | 0.9218983598328185 - 1.6795060276389298 | Manchester City
Aston Villa | 1.037135654811921 - 1.7289032637459572 | Arsenal
Aston Villa | 1.9014153671551892 - 1.0867391943546019 | Manchester Utd
Aston Villa | 1.0947543023014723 - 1.5807115554248754 | Newcastle Utd
Aston Villa | 1.7285594246865352 - 1.4325198471037934 | Liverpool
Aston Villa | 1.843796719665637 - 1.7289032637459572 | Brighton
Aston Villa | 2.1895086046029446 - 1.6301087915319026 | Tottenham
Aston Villa | 1.6133221297074327 - 1.136136430461629 | Brentford
Aston Villa | 1.3828475397492281 - 1.1855336665686562 | Fulham
Aston Villa | 1.4980848347283306 - 0.9385474860335197 | Crystal Palace
Aston Villa | 1.6133221297074327 - 0.8891502499264923 | Chelsea
